rowid,hostname,pl_letter,cb_flag,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,ra,dec,sy_dist,pl_eqt,st_lum,pl_dens,st_dens,st_age,st_teff,pl_esi
5225,TOI-2364,b,0,1,1,4.0197517,0.04871,8.608,71.51139,89.1300265,-5.0120298,219.614,1091.0,-0.252,0.61,1.94,3.5,5306.0,6.336668465441552
467,HATS-74 A,b,0,2,1,1.73185606,0.02384,11.568,464.02947,171.0147921,-19.5569588,299.389,895.0,-1.216,1.64,4.43,11.0,3776.9,6.5199717886973145
436,HATS-46,b,0,1,1,4.7423729,0.05367,10.122,54.98459,6.7026401,-56.3161021,453.808,1054.0,-0.23,0.28,2.1,3.0,5495.0,6.54430274455423
5174,TOI-2000,c,0,1,2,9.127055,0.0878,8.14,81.7,146.3970631,-66.6866307,175.713,1038.0,0.06,0.829,1.047,5.3,5611.0,6.621796471615416
393,HAT-P-68,b,0,1,1,2.29840551,0.02996,12.016,230.10892,118.4831501,23.9382192,202.152,1028.0,-0.779,0.727,3.165,11.1,4508.0,6.67318039646171
5060,TOI-1288,b,0,1,2,2.6998279,0.0374,4.968,44.1,313.1670294,65.6087833,114.865,1203.0,-0.155,1.97,1.517,6.5,5388.0,6.731785567137224
3958,Kepler-425,b,0,1,1,3.79701816,0.0464,10.962,79.45,290.3579781,40.5676965,646.647,1070.0,-0.323,0.27,1.448,5.0,5170.0,6.785813528284373
5155,TOI-1811,b,0,1,1,3.7130765,0.04389,11.142,308.92921,188.9223576,27.2143766,128.23,962.0,-0.56,1.23,2.54,5.9,4766.0,6.835643749917883
470,HATS-77,b,0,1,1,3.0876262,0.03607,13.058,436.69623,149.8236672,-27.3928174,436.176,828.0,-0.992,1.077,3.48,12.1,4071.0,6.893075848399223
5066,TOI-132,b,0,1,1,2.1097019,0.026,3.42,22.4,338.3996623,-43.436872,163.678,1395.0,-0.222,3.08,1.89,6.34,5397.0,7.026944122281435
1019,HD 332231,b,0,1,1,18.712024,0.145,9.073,74.1,306.741134,33.7443882,80.6665,798.0,0.308,0.55,0.7993,2.9,6128.0,7.034601740351587
5295,TOI-3693,b,0,1,1,9.088516,0.0813,12.599,324.18498,15.6543938,51.3038918,176.436,801.0,-0.344,0.89,2.48,3.0,5321.0,7.103289450018938
1224,HD 93963 A,c,0,2,2,3.6451389,0.04726,3.12,18.4,162.7766969,25.641065,82.3432,1212.0,0.068,3.31,1.3835,1.3,5908.0,7.249531244159969
5166,TOI-1898,b,0,1,1,45.52234,0.269,9.396,129.0,144.5553,23.5467464,79.6682,675.0,0.551,0.85,0.4128,3.1,6241.0,7.250529604889112
5173,TOI-2000,b,0,1,2,3.09833,0.04271,2.7,11.0,146.3970631,-66.6866307,175.713,1488.0,0.06,3.07,1.047,5.3,5611.0,7.439464267983862
5343,TOI-4515,b,0,1,1,15.266446,0.118,12.17,637.0,21.1861778,21.5130638,193.499,705.0,-0.236,1.941,2.1232,1.2,5433.0,7.537996243591312
5446,TOI-837,b,0,1,1,8.3249113,0.0888,9.169,120.45697,157.0372806,-64.5052107,142.488,995.0,0.127,0.89,1.63,0.035,5995.0,7.555300823685314
434,HATS-44,b,0,1,1,2.7439004,0.03649,11.96,177.9848,84.3267559,-27.9725758,446.035,1161.0,-0.398,0.56,1.98,9.7,5080.0,7.662556686770725
5002,TIC 46432937,b,0,1,1,1.44044527,0.02065,13.316,1017.0509,83.8689794,-14.5971909,90.5369,872.0,-1.385,2.37,5.34,7.4,3572.0,7.781898108527389
