rowid,hostname,pl_letter,cb_flag,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,ra,dec,sy_dist,pl_eqt,st_lum,pl_dens,st_dens,st_age,st_teff,pl_esi
5038,TOI-1246,c,0,1,4,5.904137,0.061,2.451,9.1,251.1158702,70.4299917,169.422,862.0,-0.301,3.39,1.9182,6.3,5213.0,3.247372405216512
5042,TOI-1249,b,0,1,1,13.079151,0.109,3.271,11.9,200.5615762,66.3085331,139.49,727.0,-0.101,1.84,1.4998,4.0,5497.0,3.311954804378354
5200,TOI-2134,c,0,1,2,95.5,0.371,7.27,41.89,271.9355015,39.0729269,22.6202,306.0,-0.717,0.599,2.9465,3.8,4580.0,3.3348426160396727
5130,TOI-1742,b,0,1,1,21.269084,0.154,2.365,9.7,257.3288678,71.8766724,72.8871,694.0,0.121,4.0,1.0498,3.9,5815.0,3.3349329402985064
621,HD 135694,b,0,1,1,15.92346,0.12,2.532,6.1,227.8678636,71.8412965,73.8713,751.0,0.039,2.05,1.0333,9.8,5698.0,3.3503099470204574
1318,HIP 8152,b,0,1,2,10.751014,0.093,2.536,8.9,26.2092533,-18.4013844,101.694,795.0,-0.08,2.97,1.4775,6.0,5618.0,3.4208330118298904
624,HD 136352,b,0,1,3,11.57797,0.0964,1.664,4.72,230.4401147,-48.3188174,14.682,905.0,0.016,5.62389,1.0348,12.3,5664.0,3.464296700531046
819,HD 191939,b,0,1,6,8.8803256,0.0804,3.41,10.0,302.0256247,66.8503014,53.6089,880.0,-0.187,1.4,1.37,8.7,5348.0,3.4714624328973844
5117,TOI-1691,b,0,1,1,16.7369,0.126,3.565,14.6,272.4041179,86.860343,111.445,703.0,-0.031,1.76,1.3043,6.6,5642.0,3.474656392160464
5092,TOI-1451,b,0,1,1,16.537944,0.127,2.611,15.2,186.5242821,61.2589289,91.9362,723.0,0.024,4.67,1.3363,4.0,5801.0,3.489465385398155
795,HD 183579,b,0,1,1,17.471291,0.1322,3.49,20.4,293.2866147,-54.5327284,57.2651,752.0,-0.034,2.65,1.5875,3.1,5784.0,3.494507174530238
5099,TOI-1472,b,0,1,1,6.36381,0.065,4.16,16.5,14.1142611,48.6375168,121.84,811.0,-0.356,1.24,2.1838,2.3,5133.0,3.528716115451793
5123,TOI-1710,b,0,2,1,24.283377,0.166,5.203,22.4,94.2838373,76.21102,81.2271,603.0,-0.063,0.87,1.6358,1.5,5684.0,3.562036318884474
5381,TOI-532,b,0,1,1,2.3266508,0.0296,5.82,61.5,85.0800537,11.5626373,135.047,867.0,-1.095,1.72,3.92,7.1,3927.0,3.614055575050608
1122,HD 63935,b,0,1,2,9.058807,0.083,2.916,10.5,117.9246417,9.3852412,48.9739,825.0,-0.115,2.32,1.4863,6.6,5513.0,3.6213983695021716
5198,TOI-2128,b,0,1,1,16.34136,0.127,2.089,4.5,256.9817998,32.1053027,36.578,781.0,0.156,2.68,1.0231,4.7,5968.0,3.646199941122408
5150,TOI-1799,b,0,1,1,7.085738,0.071,1.422,4.0,167.2329152,34.3030149,62.1274,923.0,-0.062,7.51,1.5171,5.1,5698.0,3.6973614218342115
5043,TOI-125,b,0,1,3,4.65382,0.05186,2.726,9.5,23.5934253,-66.6763495,111.059,1037.0,-0.285,2.57,1.99,6.8,5320.0,3.7133988045257915
5442,TOI-824,b,0,1,1,1.392978,0.02177,2.926,18.467,222.1654705,-57.5888666,63.9262,1253.0,-0.71,4.03,2.98,7.5,4600.0,3.7661993096391044
5134,TOI-1751,b,0,1,1,37.46852,0.215,2.951,19.5,243.4888534,63.5335297,113.335,652.0,0.297,4.13,0.578,9.0,5970.0,3.8506632263408456
5157,TOI-1823,b,0,1,1,38.8,0.212,7.541,67.4,196.2197201,63.753261,71.6456,424.0,-0.461,0.86,2.2412,6.3,4927.0,3.864502090043985
5125,TOI-1723,b,0,1,1,13.72641,0.114,3.292,10.4,116.7971978,68.4766845,100.727,783.0,0.064,1.6,1.1317,4.8,5743.0,3.9074343846342976
5430,TOI-762 A,b,0,2,1,3.4716826,0.03418,8.339,79.77493,166.0747423,-47.8214964,98.4458,555.0,-1.733,0.76,8.11,9.3,3266.0,3.9267996493153787
5053,TOI-1269,b,0,1,1,4.2529913,0.0496,2.401,6.4,249.6966397,64.559181,172.138,1005.0,-0.22,2.53,2.043,3.1,5499.0,3.995269745154418
5082,TOI-1422,b,0,1,1,12.9972,0.108,3.96,9.0,354.240829,39.6392793,155.141,867.0,0.048,0.795,1.3,5.1,5840.0,4.078872879380998
5428,TOI-733,b,0,1,1,4.884765,0.0618,1.992,5.72,159.4093183,-40.888259,75.2092,1056.0,-0.086,3.98,1.58,4.4,5585.0,4.125293923291921
466,HATS-72,b,0,1,1,7.3279474,0.066517,8.097,39.85588,339.0258401,-17.0003046,127.589,739.0,-0.659,0.411,2.743,12.17,4656.1,4.156723368272924
5054,TOI-1272,b,0,1,2,3.31599,0.0417,4.132,27.0,199.1962036,49.8610591,137.572,975.0,-0.426,2.09,2.4648,1.1,5065.0,4.190607478966736
5078,TOI-1410,b,0,1,2,1.21687,0.0207,3.101,12.5,334.8828486,42.5603141,72.7512,1237.0,-0.622,2.3,2.5679,6.6,4635.0,4.2195710949646745
5072,TOI-1386,b,0,1,2,25.8401,0.173,6.216,45.8,334.5041029,54.3190454,146.858,615.0,0.01,1.04,1.3498,3.2,5735.0,4.2662154994939465
4956,PH2,b,0,1,1,282.52542,0.833,9.337,87.08498,289.7636212,51.962683,343.863,295.0,-0.058,0.58,1.6,4.1,5734.0,4.3576809683282285
5154,TOI-181,b,0,1,1,4.532,0.0539,6.956,46.1687,352.1725409,-34.4914099,96.2338,895.0,-0.526,0.7562,2.8,5.4,4994.0,4.38201689195694
1117,HD 63433,b,0,1,3,7.1079384,0.072,2.164,37.3,117.4793699,27.3631342,22.4035,886.0,-0.117,20.15,1.7997,1.5,5634.0,4.418305232086725
5119,TOI-1694,b,0,1,2,3.770107,0.045,5.342,31.3,97.7487104,66.3605956,124.68,943.0,-0.418,1.13,2.3008,4.3,5058.0,4.438683766956256
2885,Kepler-1654,b,0,1,1,1047.8356,2.026,9.18,158.915,282.1856949,44.4344617,568.117,206.0,0.09,1.2,0.876,5.0,5597.0,4.576800153443724
2150,Kepler-111,c,0,1,2,224.77833,0.751,7.084,222.47988,291.653163,44.6882613,657.223,352.0,0.158,3.42,1.05,3.4,5914.0,4.644014024887511
5550,WASP-156,b,0,1,1,3.8361623,0.0458,6.028,41.8,32.782085,2.4181937,122.066,934.0,-0.418,1.05,2.1541,5.6,4987.0,4.705762145128795
5135,TOI-1753,b,0,1,1,5.3846104,0.059,2.479,16.6,252.4698351,61.1735768,226.671,1005.0,-0.07,5.95,1.4446,5.9,5621.0,4.836193070566118
439,HATS-49,b,0,1,1,4.1480467,0.04515,8.575,112.19399,6.6135927,-56.3442798,324.413,835.0,-0.785,0.986,2.961,10.5,4405.0,4.8549181520696605
1098,HD 5278,b,0,1,2,14.339156,0.1202,2.45,7.8,12.5467785,-83.7437671,57.5846,943.0,0.28,2.9,0.9319,3.0,6203.0,4.870570006012989
463,HATS-7,b,0,1,1,3.185315,0.04012,6.311,38.1396,208.8567465,-21.2078587,240.707,1084.0,-0.434,0.83,2.22,7.8,4985.0,4.9244265333907125
1640,K2-329,b,0,1,1,12.4551225,0.1016,8.676,82.6358,351.1353785,-5.1641451,233.237,650.0,-0.325,0.694,2.3,1.8,5282.0,4.935313378500869
5382,TOI-5344,b,0,1,1,3.792622,0.04041,10.604,130.9453,63.2662165,20.9151568,138.367,689.0,-1.213,0.604,4.24,10.9,3747.0,5.0345695717778005
1756,K2-419 A,b,0,2,1,20.35847252,0.1208,10.55,196.0,135.0194934,13.2737056,268.685,377.0,-1.277,0.916,4.99,7.4,3711.0,5.046176114777859
468,HATS-75,b,0,1,1,2.7886556,0.032742,9.909,156.05375,60.9493919,-25.4089214,194.964,772.0,-1.197,0.878,4.239,14.9,3790.4,5.04686508505485
465,HATS-71,b,0,1,1,3.7955202,0.03745,11.478,117.5971,15.5518893,-61.7561333,140.225,587.0,-1.56,0.42,6.26,3.2,3405.0,5.051457622769788
5041,TOI-1248,b,0,1,1,4.3601561,0.051,6.808,27.4,259.0235918,63.1056072,168.735,952.0,-0.3,0.47,1.9309,5.5,5205.0,5.081868365614651
438,HATS-48 A,b,0,2,1,3.1316666,0.03769,8.967,77.23269,288.6720048,-59.5793505,263.609,955.0,-0.709,0.589,2.804,11.97,4546.0,5.097255673768737
5138,TOI-1775,b,0,1,1,10.2405549,0.08,8.047,96.0,150.1151015,39.4577506,149.234,708.0,-0.316,1.01,2.2688,0.8,5284.0,5.14949981258044
2908,Kepler-167,e,0,2,4,1071.23205,1.883,10.16,321.00669,292.6585253,38.3455558,341.908,134.0,-0.539,1.68,2.6,7.1,4884.0,5.290272784191179
4992,TIC 139270665,b,0,1,2,23.624,0.163,7.23,147.15455,124.0338967,33.2914532,189.875,703.0,0.032,2.13,1.39,3.4,5844.0,5.352509222670235
5297,TOI-3757,b,0,1,1,3.438753,0.03845,12.0,85.3,91.0036423,55.0199793,181.139,759.0,-1.06,0.27,3.7,7.1,3913.0,5.381474155474255
4543,Kepler-849,b,0,1,1,394.62508,1.137,8.082,298.7587,290.8517961,48.5213243,822.134,363.0,0.573,3.09,0.292,4.7,5950.0,5.435022791445949
5416,TOI-669,b,0,1,1,3.945152,0.048,2.586,10.0,158.9007013,-5.1813735,142.867,1125.0,-0.062,3.17,1.34,7.9,5597.0,5.458757789008467
